id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,installation,sll,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
25,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,18,デルタ電子,H4J_220,,H6J_240,1,2,,1,,,7.74,5.9,通常,立平葺,6点,,8041,1447380,直販,CBPA18X6
26,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,18,デルタ電子,H4J_220,,H6J_240,1,2,,1,,,7.74,5.9,通常,立平葺,8点,,8250,1485000,直販,CBPA18X8
27,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,19,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,8.17,5.9,通常,立平葺,6点,,7909,1423620,直販,CBPA19X6
28,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,19,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,8.17,5.9,通常,立平葺,8点,,8129,1463220,直販,CBPA19X8
29,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,20,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,8.6,5.9,通常,立平葺,6点,,8327,1498860,直販,CBPA20X6
30,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,20,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,8.6,5.9,通常,立平葺,8点,,8558,1540440,直販,CBPA20X8
31,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,21,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,9.03,5.9,通常,立平葺,6点,,8745,1574100,直販,CBPA21X6
32,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,21,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,9.03,5.9,通常,立平葺,8点,,8987,1617660,直販,CBPA21X8
33,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,22,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,9.46,5.9,通常,立平葺,6点,,9163,1649340,直販,CBPA22X6
34,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,22,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,9.46,5.9,通常,立平葺,8点,,9416,1694880,直販,CBPA22X8
35,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,23,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,9.89,8,通常,立平葺,6点,,9581,1724580,直販,CBPA23X6
36,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,23,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,9.89,8,通常,立平葺,8点,,9845,1772100,直販,CBPA23X8
37,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,24,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,10.32,8,通常,立平葺,6点,,9999,1799820,直販,CBPA24X6
38,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,24,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,10.32,8,通常,立平葺,8点,,10263,1847340,直販,CBPA24X8
39,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,25,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,10.75,8,通常,立平葺,6点,,10406,1873080,直販,CBPA25X6
40,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,25,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,10.75,8,通常,立平葺,8点,,10692,1924560,直販,CBPA25X8
41,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,26,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,11.18,8,通常,立平葺,6点,,10824,1948320,直販,CBPA26X6
42,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,26,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,11.18,8,通常,立平葺,8点,,11121,2001780,直販,CBPA26X8
43,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,27,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,11.61,8,通常,立平葺,6点,,11242,2023560,直販,CBPA27X6
44,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,27,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,11.61,8,通常,立平葺,8点,,11550,2079000,直販,CBPA27X8
45,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,28,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.04,8,通常,立平葺,6点,,10923,1966140,直販,CBPA28X6
46,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,28,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.04,8,通常,立平葺,8点,,11231,2021580,直販,CBPA28X8
47,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,29,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.47,8,通常,立平葺,6点,,11308,2035440,直販,CBPA29X6
48,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,29,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.47,8,通常,立平葺,8点,,11638,2094840,直販,CBPA29X8
49,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,30,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.9,8,通常,立平葺,6点,,11693,2104740,直販,CBPA30X6
50,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,30,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.9,8,通常,立平葺,8点,,12034,2166120,直販,CBPA30X8
51,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,31,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,13.33,9.9,通常,立平葺,6点,,12089,2176020,直販,CBPA31X6
52,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,31,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,13.33,9.9,通常,立平葺,8点,,12441,2239380,直販,CBPA31X8
53,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,32,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,13.76,9.9,通常,立平葺,6点,,12474,2245320,直販,CBPA32X6
54,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,32,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,13.76,9.9,通常,立平葺,8点,,12837,2310660,直販,CBPA32X8
55,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,33,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,14.19,9.9,通常,立平葺,6点,,12870,2316600,直販,CBPA33X6
56,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,33,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,14.19,9.9,通常,立平葺,8点,,13244,2383920,直販,CBPA33X8
57,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,34,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,14.62,9.9,通常,立平葺,6点,,13255,2385900,直販,CBPA34X6
58,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,34,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,14.62,9.9,通常,立平葺,8点,,13640,2455200,直販,CBPA34X8
59,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,35,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,15.05,9.9,通常,立平葺,6点,,13651,2457180,直販,CBPA35X6
60,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,35,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,15.05,9.9,通常,立平葺,8点,,14047,2528460,直販,CBPA35X8
61,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,36,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,15.48,9.9,通常,立平葺,6点,,14036,2526480,直販,CBPA36X6
62,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,36,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,15.48,9.9,通常,立平葺,8点,,14443,2599740,直販,CBPA36X8
63,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,37,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,15.91,9.9,通常,立平葺,6点,,14421,2595780,直販,CBPA37X6
64,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,37,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,,15.91,9.9,通常,立平葺,8点,,14850,2673000,直販,CBPA37X8
65,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,6,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,2.58,2.5,多雪,立平葺,6点,,3773,679140,直販,CBPD06X6
66,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,6,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,2.58,2.5,多雪,立平葺,8点,,3839,691020,直販,CBPD06X8
67,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,7,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.01,3,多雪,立平葺,6点,,4400,792000,直販,CBPD07X6
68,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,7,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.01,3,多雪,立平葺,8点,,4477,805860,直販,CBPD07X8
69,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,8,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.44,3.4,多雪,立平葺,6点,,5027,904860,直販,CBPD08X6
70,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,8,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.44,3.4,多雪,立平葺,8点,,5126,922680,直販,CBPD08X8
