id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,installation,sll,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
288,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,21,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,9.03,5.9,通常,立平葺,8点,,10417,1875060,直販,CBPA21U8
289,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,22,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,9.46,5.9,通常,立平葺,6点,,10593,1906740,直販,CBPA22U6
290,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,22,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,9.46,5.9,通常,立平葺,8点,,10846,1952280,直販,CBPA22U8
291,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,23,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,9.89,8,通常,立平葺,6点,,11011,1981980,直販,CBPA23U6
292,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,23,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,9.89,8,通常,立平葺,8点,,11264,2027520,直販,CBPA23U8
293,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,24,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,10.32,8,通常,立平葺,6点,,11418,2055240,直販,CBPA24U6
294,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,24,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,10.32,8,通常,立平葺,8点,,11693,2104740,直販,CBPA24U8
295,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,25,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,10.75,8,通常,立平葺,6点,,11836,2130480,直販,CBPA25U6
296,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,25,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,10.75,8,通常,立平葺,8点,,12122,2181960,直販,CBPA25U8
297,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,26,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,11.18,8,通常,立平葺,6点,,12254,2205720,直販,CBPA26U6
298,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,26,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,11.18,8,通常,立平葺,8点,,12551,2259180,直販,CBPA26U8
299,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,27,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,11.61,8,通常,立平葺,6点,,12672,2280960,直販,CBPA27U6
300,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,27,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,11.61,8,通常,立平葺,8点,,12980,2336400,直販,CBPA27U8
301,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,28,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.04,8,通常,立平葺,6点,,12353,2223540,直販,CBPA28U6
302,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,28,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.04,8,通常,立平葺,8点,,12672,2280960,直販,CBPA28U8
303,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,29,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.47,8,通常,立平葺,6点,,12738,2292840,直販,CBPA29U6
304,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,29,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.47,8,通常,立平葺,8点,,13068,2352240,直販,CBPA29U8
305,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,30,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.9,8,通常,立平葺,6点,,13123,2362140,直販,CBPA30U6
306,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,30,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.9,8,通常,立平葺,8点,,13464,2423520,直販,CBPA30U8
307,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,31,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,13.33,9.9,通常,立平葺,6点,,13519,2433420,直販,CBPA31U6
308,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,31,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,13.33,9.9,通常,立平葺,8点,,13871,2496780,直販,CBPA31U8
309,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,32,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,13.76,9.9,通常,立平葺,6点,,13904,2502720,直販,CBPA32U6
310,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,32,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,13.76,9.9,通常,立平葺,8点,,14267,2568060,直販,CBPA32U8
311,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,33,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,14.19,9.9,通常,立平葺,6点,,14300,2574000,直販,CBPA33U6
312,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,33,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,14.19,9.9,通常,立平葺,8点,,14674,2641320,直販,CBPA33U8
313,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,34,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,14.62,9.9,通常,立平葺,6点,,14685,2643300,直販,CBPA34U6
314,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,34,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,14.62,9.9,通常,立平葺,8点,,15070,2712600,直販,CBPA34U8
315,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,35,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.05,9.9,通常,立平葺,6点,,15081,2714580,直販,CBPA35U6
316,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,35,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.05,9.9,通常,立平葺,8点,,15477,2785860,直販,CBPA35U8
317,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,36,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.48,9.9,通常,立平葺,6点,,15466,2783880,直販,CBPA36U6
318,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,36,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.48,9.9,通常,立平葺,8点,,15873,2857140,直販,CBPA36U8
319,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,37,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.91,9.9,通常,立平葺,6点,,15851,2853180,直販,CBPA37U6
320,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,37,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.91,9.9,通常,立平葺,8点,,16269,2928420,直販,CBPA37U8
321,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,6,デルタ電子,H4J_220,1,H6J_240,,1,,1,,1,2.58,2.5,通常,スレート,6点,,5313,956340,直販,CBPC06U4
322,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,6,デルタ電子,H4J_220,1,H6J_240,,1,,1,,1,2.58,2.5,通常,スレート,8点,,5401,972180,直販,CBPC06U6
323,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,7,デルタ電子,H4J_220,1,H6J_240,,1,,1,,1,3.01,3,通常,スレート,6点,,5962,1073160,直販,CBPC07U4
324,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,7,デルタ電子,H4J_220,1,H6J_240,,1,,1,,1,3.01,3,通常,スレート,8点,,6072,1092960,直販,CBPC07U6
325,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,8,デルタ電子,H4J_220,1,H6J_240,,1,,1,,1,3.44,3.4,通常,スレート,6点,,6611,1189980,直販,CBPC08U4
326,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,8,デルタ電子,H4J_220,1,H6J_240,,1,,1,,1,3.44,3.4,通常,スレート,8点,,6732,1211760,直販,CBPC08U6
327,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,9,デルタ電子,H4J_220,1,H6J_240,,1,,1,,1,3.87,3.8,通常,スレート,6点,,6237,1122660,直販,CBPC09U4
328,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,9,デルタ電子,H4J_220,1,H6J_240,,1,,1,,1,3.87,3.8,通常,スレート,8点,,6369,1146420,直販,CBPC09U6
329,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,4.3,4,通常,スレート,6点,,6765,1217700,直販,CBPC10U4
330,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,4.3,4,通常,スレート,8点,,6919,1245420,直販,CBPC10U6
331,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,11,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,4.73,4,通常,スレート,6点,,7304,1314720,直販,CBPC11U4
332,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,11,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,4.73,4,通常,スレート,8点,,7469,1344420,直販,CBPC11U6
333,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,12,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,5.16,4,通常,スレート,6点,,7832,1409760,直販,CBPC12U4
334,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,12,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,5.16,4,通常,スレート,8点,,8019,1443420,直販,CBPC12U6
335,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,13,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,5.59,4,通常,スレート,6点,,8371,1506780,直販,CBPC13U4
336,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,13,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,5.59,4,通常,スレート,8点,,8569,1542420,直販,CBPC13U6
337,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,14,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,6.02,4,通常,スレート,6点,,7953,1431540,直販,CBPC14U4
338,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,14,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,6.02,4,通常,スレート,8点,,8162,1469160,直販,CBPC14U6
339,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,15,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,6.45,4,通常,スレート,6点,,8415,1514700,直販,CBPC15U4
340,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,15,デルタ電子,H4J_220,1,H6J_240,,2,,1,,1,6.45,4,通常,スレート,8点,,8646,1556280,直販,CBPC15U6
341,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,16,デルタ電子,H4J_220,,H6J_240,1,2,,1,,1,6.88,5.9,通常,スレート,6点,,8877,1597860,直販,CBPC16U4
342,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,16,デルタ電子,H4J_220,,H6J_240,1,2,,1,,1,6.88,5.9,通常,スレート,8点,,9119,1641420,直販,CBPC16U6
343,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,17,デルタ電子,H4J_220,,H6J_240,1,2,,1,,1,7.31,5.9,通常,スレート,6点,,9350,1683000,直販,CBPC17U4
344,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,17,デルタ電子,H4J_220,,H6J_240,1,2,,1,,1,7.31,5.9,通常,スレート,8点,,9603,1728540,直販,CBPC17U6
345,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,18,デルタ電子,H4J_220,,H6J_240,1,2,,1,,1,7.74,5.9,通常,スレート,6点,,9812,1766160,直販,CBPC18U4
346,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,18,デルタ電子,H4J_220,,H6J_240,1,2,,1,,1,7.74,5.9,通常,スレート,8点,,10087,1815660,直販,CBPC18U6
347,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,19,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,8.17,5.9,通常,スレート,6点,,9702,1746360,直販,CBPC19U4
348,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,19,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,8.17,5.9,通常,スレート,8点,,9988,1797840,直販,CBPC19U6
349,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,20,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,8.6,5.9,通常,スレート,6点,,10142,1825560,直販,CBPC20U4
350,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,20,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,8.6,5.9,通常,スレート,8点,,10439,1879020,直販,CBPC20U6
351,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,21,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,9.03,5.9,通常,スレート,6点,,10571,1902780,直販,CBPC21U4
352,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,21,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,9.03,5.9,通常,スレート,8点,,10890,1960200,直販,CBPC21U6
353,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,22,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,9.46,5.9,通常,スレート,6点,,11011,1981980,直販,CBPC22U4
354,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,22,デルタ電子,H4J_220,,H6J_240,1,3,,1,,1,9.46,5.9,通常,スレート,8点,,11341,2041380,直販,CBPC22U6
355,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,23,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,9.89,8,通常,スレート,6点,,11440,2059200,直販,CBPC23U4
356,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,23,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,9.89,8,通常,スレート,8点,,11792,2122560,直販,CBPC23U6
357,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,24,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,10.32,8,通常,スレート,6点,,11880,2138400,直販,CBPC24U4
358,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,24,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,10.32,8,通常,スレート,8点,,12243,2203740,直販,CBPC24U6
359,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,25,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,10.75,8,通常,スレート,6点,,12309,2215620,直販,CBPC25U4
360,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,25,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,10.75,8,通常,スレート,8点,,12694,2284920,直販,CBPC25U6
361,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,26,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,11.18,8,通常,スレート,6点,,12749,2294820,直販,CBPC26U4
362,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,26,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,11.18,8,通常,スレート,8点,,13145,2366100,直販,CBPC26U6
363,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,27,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,11.61,8,通常,スレート,6点,,13189,2374020,直販,CBPC27U4
364,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,27,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,11.61,8,通常,スレート,8点,,13596,2447280,直販,CBPC27U6
365,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,28,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.04,8,通常,スレート,6点,,12881,2318580,直販,CBPC28U4
366,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,28,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.04,8,通常,スレート,8点,,13299,2393820,直販,CBPC28U6
367,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,29,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.47,8,通常,スレート,6点,,13288,2391840,直販,CBPC29U4
368,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,29,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.47,8,通常,スレート,8点,,13717,2469060,直販,CBPC29U6
369,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,30,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.9,8,通常,スレート,6点,,13695,2465100,直販,CBPC30U4
370,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,30,デルタ電子,H4J_220,2,H6J_240,,4,,1,,1,12.9,8,通常,スレート,8点,,14146,2546280,直販,CBPC30U6
371,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,31,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,13.33,9.9,通常,スレート,6点,,14102,2538360,直販,CBPC31U4
372,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,31,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,13.33,9.9,通常,スレート,8点,,14575,2623500,直販,CBPC31U6
373,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,32,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,13.76,9.9,通常,スレート,6点,,14509,2611620,直販,CBPC32U4
374,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,32,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,13.76,9.9,通常,スレート,8点,,14993,2698740,直販,CBPC32U6
375,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,33,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,14.19,9.9,通常,スレート,6点,,14927,2686860,直販,CBPC33U4
376,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,33,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,14.19,9.9,通常,スレート,8点,,15422,2775960,直販,CBPC33U6
377,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,34,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,14.62,9.9,通常,スレート,6点,,15323,2758140,直販,CBPC34U4
378,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,34,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,14.62,9.9,通常,スレート,8点,,15840,2851200,直販,CBPC34U6
379,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,35,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.05,9.9,通常,スレート,6点,,15741,2833380,直販,CBPC35U4
380,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,35,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.05,9.9,通常,スレート,8点,,16269,2928420,直販,CBPC35U6
381,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,36,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.48,9.9,通常,スレート,6点,,16148,2906640,直販,CBPC36U4
382,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,36,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.48,9.9,通常,スレート,8点,,16698,3005640,直販,CBPC36U6
383,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,37,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.91,9.9,通常,スレート,6点,,16555,2979900,直販,CBPC37U4
384,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,37,デルタ電子,H4J_220,1,H6J_240,1,5,,1,,1,15.91,9.9,通常,スレート,8点,,17116,3080880,直販,CBPC37U6
385,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,8,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,3.2,3.2,通常,立平葺,6点,,5951,1071180,直販,C8MA08X6
386,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,8,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,3.2,3.2,通常,立平葺,8点,,6028,1085040,直販,C8MA08X8
387,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,9,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,3.6,3.6,通常,立平葺,6点,,6688,1203840,直販,C8MA09X6
388,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,9,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,3.6,3.6,通常,立平葺,8点,,6787,1221660,直販,C8MA09X8
389,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,4,4,通常,立平葺,6点,,6655,1197900,直販,C8MA10X6
390,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,4,4,通常,立平葺,8点,,6765,1217700,直販,C8MA10X8
391,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,11,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,,4.4,4,通常,立平葺,6点,,7326,1318680,直販,C8MA11X6
392,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,11,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,,4.4,4,通常,立平葺,8点,,7436,1338480,直販,C8MA11X8
393,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,12,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,,4.8,4,通常,立平葺,6点,,7986,1437480,直販,C8MA12X6
394,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,12,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,,4.8,4,通常,立平葺,8点,,8118,1461240,直販,C8MA12X8
395,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,13,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,,5.2,4,通常,立平葺,6点,,8657,1558260,直販,C8MA13X6
396,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,13,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,,5.2,4,通常,立平葺,8点,,8789,1582020,直販,C8MA13X8
397,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,14,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,,5.6,4,通常,立平葺,6点,,9317,1677060,直販,C8MA14X6
398,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,14,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,,5.6,4,通常,立平葺,8点,,9471,1704780,直販,C8MA14X8
399,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,15,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,,6,4,通常,立平葺,6点,,9240,1663200,直販,C8MA15X6
400,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,15,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,,6,4,通常,立平葺,8点,,9405,1692900,直販,C8MA15X8
401,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,16,デルタ電子,H4J_220,,H6J_240,1,4,,1,,,6.4,5.9,通常,立平葺,6点,,9856,1774080,直販,C8MA16X6
402,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,16,デルタ電子,H4J_220,,H6J_240,1,4,,1,,,6.4,5.9,通常,立平葺,8点,,10032,1805760,直販,C8MA16X8
403,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,17,デルタ電子,H4J_220,,H6J_240,1,4,,1,,,6.8,5.9,通常,立平葺,6点,,10472,1884960,直販,C8MA17X6
404,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,17,デルタ電子,H4J_220,,H6J_240,1,4,,1,,,6.8,5.9,通常,立平葺,8点,,10659,1918620,直販,C8MA17X8
405,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,18,デルタ電子,H4J_220,,H6J_240,1,4,,1,,,7.2,5.9,通常,立平葺,6点,,11088,1995840,直販,C8MA18X6
406,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,18,デルタ電子,H4J_220,,H6J_240,1,4,,1,,,7.2,5.9,通常,立平葺,8点,,11286,2031480,直販,C8MA18X8
407,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,19,デルタ電子,H4J_220,,H6J_240,1,4,,1,,,7.6,5.9,通常,立平葺,6点,,11704,2106720,直販,C8MA19X6
408,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,19,デルタ電子,H4J_220,,H6J_240,1,4,,1,,,7.6,5.9,通常,立平葺,8点,,11913,2144340,直販,C8MA19X8
409,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,20,デルタ電子,H4J_220,,H6J_240,1,4,,1,,,8,5.9,通常,立平葺,6点,,11968,2154240,直販,C8MA20X6
410,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,20,デルタ電子,H4J_220,,H6J_240,1,4,,1,,,8,5.9,通常,立平葺,8点,,12188,2193840,直販,C8MA20X8
411,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,21,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,,8.4,5.9,通常,立平葺,6点,,12573,2263140,直販,C8MA21X6
412,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,21,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,,8.4,5.9,通常,立平葺,8点,,12793,2302740,直販,C8MA21X8
413,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,22,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,,8.8,5.9,通常,立平葺,6点,,13167,2370060,直販,C8MA22X6
414,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,22,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,,8.8,5.9,通常,立平葺,8点,,13398,2411640,直販,C8MA22X8
415,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,23,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,,9.2,8,通常,立平葺,6点,,13772,2478960,直販,C8MA23X6
416,TEPCOフィンテック,15年,400,maxeon,SPR-MAX3-400,23,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,,9.2,8,通常,立平葺,8点,,14014,2522520,直販,C8MA23X8
