id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,installation,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
26,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,20,デルタ電子,H4J_220,,H6J_240,1,4,,1,,8,5.9,通常,立平葺,8点,15785,,1894200,直販,C8MA20B8
27,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,21,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,8.4,5.9,通常,立平葺,6点,16291,,1954920,直販,C8MA21B6
28,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,21,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,8.4,5.9,通常,立平葺,8点,16577,,1989240,直販,C8MA21B8
29,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,22,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,8.8,5.9,通常,立平葺,6点,17061,,2047320,直販,C8MA22B6
30,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,22,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,8.8,5.9,通常,立平葺,8点,17358,,2082960,直販,C8MA22B8
31,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,23,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,9.2,8,通常,立平葺,6点,17842,,2141040,直販,C8MA23B6
32,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,23,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,9.2,8,通常,立平葺,8点,18150,,2178000,直販,C8MA23B8
33,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,24,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,9.6,8,通常,立平葺,6点,18612,,2233440,直販,C8MA24B6
34,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,24,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,9.6,8,通常,立平葺,8点,18942,,2273040,直販,C8MA24B8
35,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,25,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10,8,通常,立平葺,6点,19162,,2299440,直販,C8MA25B6
